customerID,MonthlyCharges,tenure,TotalCharges,Churn_actual,churn_proba,churn_pred,risk_segment,expected_revenue_loss,retention_opportunity
4376-KFVRS,114.05,72,8468.2,0,0.02041783573404954,0,Low,27.943849985620197,8.38315499568606
2754-SDJRD,100.15,8,908.55,0,0.49363588740493763,0,Medium,593.251609483254,177.9754828449762
9917-KWRBE,78.35,41,3211.2,0,0.08622103386809268,0,Low,81.06501604278073,24.319504812834218
0365-GXEZS,78.2,18,1468.75,0,0.32514458038219163,0,Medium,305.11567423064866,91.5347022691946
9385-NXKDA,82.65,72,5919.35,0,0.015655930972144776,0,Low,15.52755233817319,4.658265701451957
4686-UXDML,99.85,21,1992.55,0,0.4806261063659349,0,Medium,575.8862006476631,172.76586019429894
2227-JRSJX,99.15,21,1956.4,0,0.3546525723901836,0,Medium,421.96563062984046,126.58968918895214
4830-FAXFM,24.1,19,439.2,0,0.10229946524064171,0,Low,29.585005347593583,8.875501604278075
1830-IPXVJ,19.75,61,1311.6,0,0.003125,0,Low,0.7406250000000001,0.2221875
4690-LLKUA,45.05,17,770.6,1,0.4927385793291649,0,Medium,266.3744759853466,79.91234279560398
5804-HYIEZ,106.05,70,7554.05,0,0.2489270645589936,0,Low,316.7845823577752,95.03537470733256
2388-LAESQ,114.85,72,8317.95,0,0.02173288098291832,0,Low,29.952256570658026,8.985676971197407
5533-RJFTJ,30.2,49,1453.1,0,0.2489270645589936,0,Low,90.21116819617927,27.06335045885378
4706-AXVKM,84.8,11,906.85,1,0.5350676486261725,1,Medium,544.4848392419931,163.34545177259793
0997-YTLNY,48.8,19,953.65,0,0.17946307037589831,0,Low,105.09357401212604,31.528072203637812
7971-HLVXI,84.5,72,6130.85,0,0.1086462144666479,0,Low,110.16726146918097,33.05017844075429
7337-CINUD,19.5,8,159.35,0,0.012683088291765541,0,Low,2.9678426602731367,0.890352798081941
1379-FRVEB,91.0,15,1430.05,0,0.6268200483345602,1,Medium,684.4874927813397,205.3462478344019
4753-PADAS,105.7,67,6816.95,0,0.17937507321948826,0,Low,227.5193428715989,68.25580286147967
5701-GUXDC,35.4,26,978.6,0,0.048251371357791666,0,Low,20.497182552789898,6.149154765836969
7235-NXZCP,74.85,2,156.4,1,0.6979378089355598,1,Medium,626.8877399859198,188.06632199577592
0668-OGMHD,28.5,21,629.35,0,0.28671202607822976,0,Low,98.05551291875457,29.41665387562637
2812-REYAT,20.05,49,923.1,0,0.02041783573404954,0,Low,4.912531277612319,1.4737593832836957
8779-YIQQA,19.8,21,350.1,0,0.012638295458618842,0,Low,3.0028590009678373,0.9008577002903512
9701-CDXHR,69.15,51,3649.6,0,0.27981913106232315,0,Low,232.19391495551577,69.65817448665473
7130-CTCUS,54.55,16,825.1,0,0.1441910277356362,0,Low,94.38744675574745,28.316234026724235
1894-IGFSG,89.25,22,1907.85,1,0.5028586809999875,1,Medium,538.5616473509866,161.568494205296
0871-URUWO,102.25,13,1359.0,1,0.4927385793291649,0,Medium,604.5902368368853,181.3770710510656
0057-QBUQH,25.1,43,1070.15,0,0.020373042900902843,0,Low,6.1363605217519375,1.8409081565255812
9611-CTWIH,89.45,3,240.45,1,0.8597441129561872,1,High,922.8493308471715,276.85479925415143
8058-DMYRU,90.05,54,4931.8,0,0.5029036219587134,1,Medium,543.4376538885856,163.0312961665757
5351-QESIO,24.2,1,24.2,0,0.4711250648941151,0,Medium,136.814718845251,41.0444156535753
4302-ZYFEL,20.55,69,1403.1,0,0.010939998870558073,0,Low,2.697803721479621,0.8093411164438863
6134-KWTBV,23.4,62,1429.65,0,0.009603416980193683,0,Low,2.696639488038386,0.8089918464115158
2034-GDRCN,90.4,2,168.2,1,0.8718653250773993,1,High,945.7995046439628,283.7398513931888
